"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Semien, Marcus","543760","2022","724","547",0.248,0.243,0.0050000000000000044,0.429,0.394,0.034999999999999976,0.317,0.306,0.01100000000000001
"Freeman, Freddie","518692","2022","708","517",0.325,0.313,0.01200000000000001,0.511,0.538,-0.027000000000000024,0.393,0.403,-0.010000000000000009
"Turner, Trea","607208","2022","708","527",0.298,0.276,0.021999999999999964,0.466,0.432,0.03400000000000003,0.35,0.335,0.014999999999999958
"Lindor, Francisco","596019","2022","706","504",0.27,0.254,0.016000000000000014,0.449,0.427,0.02200000000000002,0.342,0.331,0.01100000000000001
"Guerrero Jr., Vladimir","665489","2022","706","526",0.274,0.281,-0.007000000000000006,0.48,0.464,0.01599999999999996,0.351,0.351,0
"Olson, Matt","621566","2022","699","450",0.24,0.248,-0.008000000000000007,0.477,0.467,0.009999999999999953,0.344,0.347,-0.0030000000000000027
"Bichette, Bo","666182","2022","697","499",0.29,0.278,0.011999999999999955,0.469,0.444,0.024999999999999967,0.347,0.334,0.012999999999999956
"Swanson, Dansby","621020","2022","696","462",0.277,0.257,0.020000000000000018,0.447,0.461,-0.014000000000000012,0.337,0.337,0
"Judge, Aaron","592450","2022","696","400",0.311,0.305,0.006000000000000005,0.686,0.706,-0.019999999999999907,0.458,0.463,-0.0050000000000000044
"Riley, Austin","663586","2022","693","451",0.273,0.271,0.0020000000000000018,0.528,0.531,-0.0030000000000000027,0.377,0.378,-0.0010000000000000009
"Alonso, Pete","624413","2022","685","478",0.271,0.262,0.009000000000000008,0.518,0.486,0.03200000000000003,0.366,0.353,0.013000000000000012
"Ramírez, José","608070","2022","685","528",0.28,0.255,0.025000000000000022,0.514,0.408,0.10600000000000004,0.363,0.32,0.04299999999999998
"Cronenworth, Jake","630105","2022","684","464",0.239,0.221,0.017999999999999988,0.39,0.356,0.03400000000000003,0.318,0.303,0.015000000000000013
"Abreu, José","547989","2022","679","495",0.304,0.296,0.008000000000000007,0.446,0.486,-0.03999999999999998,0.361,0.373,-0.01200000000000001
"Nimmo, Brandon","607043","2022","673","470",0.274,0.256,0.018000000000000016,0.433,0.403,0.02999999999999997,0.353,0.338,0.014999999999999958
"Hoskins, Rhys","656555","2022","672","424",0.246,0.239,0.007000000000000006,0.462,0.445,0.017000000000000015,0.345,0.338,0.006999999999999951
"Mullins, Cedric","656775","2022","672","488",0.258,0.232,0.025999999999999995,0.403,0.349,0.05400000000000005,0.315,0.288,0.027000000000000024
"Yelich, Christian","592885","2022","671","416",0.252,0.258,-0.006000000000000005,0.383,0.404,-0.02100000000000002,0.328,0.339,-0.01100000000000001
"Rosario, Amed","642708","2022","670","530",0.283,0.276,0.006999999999999951,0.403,0.396,0.007000000000000006,0.311,0.31,0.0010000000000000009
"Schwarber, Kyle","656941","2022","669","379",0.218,0.237,-0.01899999999999999,0.504,0.535,-0.031000000000000028,0.355,0.375,-0.020000000000000018
"Walker, Christian","572233","2022","667","459",0.242,0.257,-0.015000000000000013,0.477,0.484,-0.007000000000000006,0.346,0.359,-0.013000000000000012
"Ohtani, Shohei","660271","2022","666","428",0.273,0.275,-0.0020000000000000018,0.519,0.549,-0.030000000000000027,0.37,0.383,-0.013000000000000012
"Soto, Juan","665742","2022","664","428",0.242,0.266,-0.02400000000000002,0.452,0.501,-0.04899999999999999,0.376,0.401,-0.025000000000000022
"Seager, Corey","608369","2022","663","495",0.245,0.283,-0.03799999999999998,0.455,0.51,-0.05499999999999999,0.331,0.372,-0.04099999999999998
"Profar, Jurickson","595777","2022","658","478",0.243,0.251,-0.008000000000000007,0.391,0.359,0.03200000000000003,0.32,0.315,0.0050000000000000044
"García, Adolis","666969","2022","657","428",0.25,0.244,0.006000000000000005,0.456,0.447,0.009000000000000008,0.324,0.322,0.0020000000000000018
"Bregman, Alex","608324","2022","656","481",0.259,0.257,0.0020000000000000018,0.454,0.416,0.038000000000000034,0.358,0.35,0.008000000000000007
"Goldschmidt, Paul","502671","2022","651","424",0.317,0.261,0.055999999999999994,0.578,0.482,0.09599999999999997,0.419,0.367,0.05199999999999999
"Bell, Josh","605137","2022","647","456",0.266,0.273,-0.007000000000000006,0.422,0.424,-0.0020000000000000018,0.344,0.349,-0.0050000000000000044
"Santander, Anthony","623993","2022","647","457",0.24,0.257,-0.017000000000000015,0.455,0.471,-0.01599999999999996,0.336,0.352,-0.01599999999999996
"Arozarena, Randy","668227","2022","645","432",0.263,0.234,0.028999999999999998,0.445,0.382,0.063,0.336,0.301,0.03500000000000003
"Lowe, Nathaniel","663993","2022","645","446",0.302,0.275,0.02699999999999997,0.492,0.459,0.032999999999999974,0.368,0.344,0.02400000000000002
"Verdugo, Alex","657077","2022","644","513",0.28,0.278,0.0020000000000000018,0.405,0.428,-0.022999999999999965,0.319,0.329,-0.010000000000000009
"Machado, Manny","592518","2022","644","447",0.298,0.267,0.030999999999999972,0.531,0.45,0.08100000000000002,0.382,0.341,0.04099999999999998
"Happ, Ian","664023","2022","641","428",0.271,0.239,0.03200000000000003,0.44,0.379,0.061,0.339,0.306,0.03300000000000003
"Betts, Mookie","605141","2022","639","472",0.269,0.254,0.015000000000000013,0.533,0.465,0.068,0.373,0.344,0.029000000000000026
"Kwan, Steven","680757","2022","638","509",0.298,0.268,0.02999999999999997,0.4,0.341,0.059,0.341,0.312,0.029000000000000026
"Witt Jr., Bobby","677951","2022","632","461",0.254,0.252,0.0020000000000000018,0.428,0.427,0.0010000000000000009,0.311,0.313,-0.0020000000000000018
"Cron, C.J.","543068","2022","632","416",0.257,0.243,0.014000000000000012,0.468,0.435,0.03300000000000003,0.335,0.32,0.015000000000000013
"Bohm, Alec","664761","2022","631","486",0.28,0.29,-0.009999999999999953,0.398,0.436,-0.03799999999999998,0.31,0.333,-0.02300000000000002
"Bogaerts, Xander","593428","2022","631","446",0.307,0.259,0.04799999999999999,0.456,0.383,0.07300000000000001,0.363,0.323,0.03999999999999998
"Edman, Tommy","669242","2022","630","468",0.265,0.258,0.007000000000000006,0.4,0.38,0.020000000000000018,0.318,0.308,0.010000000000000009
"Suárez, Eugenio","553993","2022","629","352",0.236,0.22,0.015999999999999986,0.459,0.454,0.0050000000000000044,0.344,0.339,0.004999999999999949
"Pham, Tommy","502054","2022","622","392",0.236,0.238,-0.0020000000000000018,0.374,0.383,-0.009000000000000008,0.304,0.311,-0.007000000000000006
"Chapman, Matt","656305","2022","621","373",0.229,0.234,-0.0050000000000000044,0.433,0.44,-0.007000000000000006,0.331,0.341,-0.010000000000000009
"Arenado, Nolan","571448","2022","620","489",0.293,0.266,0.02699999999999997,0.533,0.445,0.08800000000000002,0.381,0.339,0.04199999999999998
"Hernández, César","514917","2022","617","451",0.248,0.248,0,0.318,0.329,-0.01100000000000001,0.283,0.29,-0.007000000000000006
"Adames, Willy","642715","2022","617","401",0.238,0.238,0,0.458,0.451,0.007000000000000006,0.325,0.323,0.0020000000000000018
"Devers, Rafael","646240","2022","614","444",0.295,0.282,0.013000000000000012,0.521,0.497,0.02400000000000002,0.373,0.361,0.01200000000000001
"Reynolds, Bryan","668804","2022","614","403",0.262,0.249,0.013000000000000012,0.461,0.416,0.04500000000000004,0.349,0.329,0.019999999999999962
"France, Ty","664034","2022","613","462",0.274,0.262,0.01200000000000001,0.436,0.397,0.03899999999999998,0.337,0.321,0.016000000000000014
"Murphy, Sean","669221","2022","612","418",0.25,0.255,-0.0050000000000000044,0.426,0.439,-0.013000000000000012,0.331,0.344,-0.012999999999999956
"Tucker, Kyle","663656","2022","609","451",0.257,0.262,-0.0050000000000000044,0.478,0.482,-0.0040000000000000036,0.348,0.353,-0.0050000000000000044
"Mountcastle, Ryan","663624","2022","609","408",0.25,0.277,-0.027000000000000024,0.423,0.509,-0.08600000000000002,0.316,0.362,-0.045999999999999985
"Altuve, Jose","514888","2022","604","441",0.3,0.269,0.030999999999999972,0.533,0.44,0.09300000000000003,0.397,0.354,0.04300000000000004
